Iteration,Parameters,Return
106/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
107/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
108/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
109/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
110/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
111/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
112/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
113/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
114/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
115/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
116/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
117/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
118/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
119/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
